name,age,dni,source,tags,phone,external_id
"Francesca A. Root",5,55231144227,"MANUAL REGistration",contactcenter_region3|possible_buyer11,"+54 2 83-3329 54482",84351
Teodora,89,21119771696,"Email response",form_ui3443,"+54 5 29 8676 6700",78521
"Cari Salomo",123,24715271325,"Email responce",any_applicant7,"+54 6 94 2809 5751",76562
"Reeta Colet",68,77172890526,"google form",contactcenter_region19|apply_0_cases|techsource_29,"2-89 6755 8485",10225
"Laina M. Goodrich",107,3157987749318,"google form",never_call|treaty|limit,"6 95 1903 7365",19463
"Mollie Ifill",29,32853591934,"MANUAL REGistration",techsource_29|possible_buyer6|possible_buyer24,"+54 3 50 8587 79767",74903
"Katti Romine",48,73268182012,"facebok Leads",source_dependant11,"7 85-6803 5861",62299
"Debee Idaline",132,87726322817,"MANUAL REGistration",case1|call_again17|special15,"4 35 5374 2797",19736
" Kimmel",46,74650092998,"MANUAL REGistration",rangeof_action25|most_interested,"7-89 8972 6570",27157
"Dian Knight",4,99866274809,"google form",techsource_29|form_ui344,"4 44 4173 8538",63991
"Paulette Lyford",8,99476222383,"google form",rangeof_action,"2-76 8352 4318",11167
"Zonnya M. Stephenson",114,46417501023,"Email responce",apply_0_cases|source_dependant27|contactcenter_region3,"8 67 6911-8312",47011
"Jessy Dun",3,828281924360,"MANUAL REGistration",special2|special30|case1,"1 83-5228 1172",79610
"Gert Newcomer",111,98255239043,"Email responce",contactcenter_region4,"+54 5-42-9971 2808",32682
"Dolorita Krucik",123,2077465349,"MANUAL REGistration",rangeof_action,"2 72 7688 6799",83070
"Ferdinande Eiger",33,76345478684,"google form",possible_buyer4|on_consideration|source_dependant,"5 31 7901 4691",38416
"Ardelle Lorilyn",76,6721910890580,"Manual registration",limit10|case1,"7-31 1709 9418",38491
"Lori Bertilla",1,5662168617,"Facebook Leads",source_dependant|actionpending|client_only,"3-41 7961 5356",37467
"Penelope H. Licha",43,9337658574239,"Facebook Leads",contactcenter_region1|actionable,"7 19 6576 6748",49484
"Halimeda M. Lib",19,9348018823123,"MANUAL REGistration",apply_0_cases,"+54 2 34 5458 9554",91456
"Fae Ramsay",31,22493593616,"facebok Leads",any_applicant|least_interested,"8 59 8163 6926",23153
"Yettie Zhang",86,3342812343,"google Forms",never_call,"+54 9 95 2386 9963",54729
"Enid Yahiya",18,13310300455,manual-registration,possible_buyer,"3 19 2533-4317",84963
" K. Ailbert",90,68880837052,"Facebook Leads",never_call27|special|rangeof_action,"8-94 1159 7616",56829
Ebonee,69,39008887230,manual-registration,contactcenter_region220,"1 54 8845 80324",25095
"Genvieve Jilly",114,66222108481,manual-registration,techsource_29|contactcenter_region4|apply_0_cases,"+54 2 55 4700 6045",65343
"Rycca Imojean",78,51948000253,"Facebook Leads",contactcenter_region4,"+54 5-33 6833 63752",90670
"Kara-Lynn I. Lauri",3,44201211604,"Google forms",possible_buyer,"1-76 9973 1417",67631
"Idell M.",44,28321802358,"MANUAL REGistration",contactcenter_region3|contactondemand|possible_buyer13,"+54 1 70 8662-1152",93549
" Kerwon",21,51537269517,"Facebook Leads",least_interested|contactondemand30|contactondemand,"+54 2 99 6829 6602",91796
"Cate Kernan",36,63687225658,"google form",actionpending,"7 44 6925 7076",55620
"Clareta Krakow",121,85555474797,"Email responce",call_again8|possible_buyer,"4 87 4225-8021",51172
"Estrella C. Jacinthe",2,8635383458,"Email response",any_applicant20|actionable,"5 48 9818 50196",88475
" Mignon",54,76636135431,"facebook leads",source_dependant,"4 10-8922 18966",72397
"Gwynne Schecter",54,76636135431,"google Forms",most_interested,"4 10-8922 18966",73878
"Yolanda Ballman",100,29927468660,"facebok Leads",least_interested|client_only,"3 89-8846 6671",51681
"Sarene Kneeland",7,825126028,"Google forms",actionpending,"7 90 8935-6915",60317
"Vinita I.",54,76636135431,"facebok Leads",form_ui34415|contactcenter_region1|contactcenter_region2,"4 10-8922 18966",94552
"Calypso Diena",50,20063834913,"Google forms",contactcenter_region2,"+54 3 67-7430 80037",25067
" B. Wiedmann",89,25453054342,"facebook leads",source_dependant17,"5 87 7800 4313",76041
"Emmye B. Malory",92,97918051666,"facebok Leads",form_ui34418|treaty,"7 39-7111 6001",88337
"Joyan F. Dannon",13,88914258206,"Facebook Leads",call_again|least_interested,"+54 2 33 5265 14183",16277
"Christa A. Ober",13,98313715644,manual-registration,apply_0_cases|client_only|apply_0_cases,"4 23 3169 1118",88683
"Cal L. Donella",13,88914258206,"facebook leads",actionable18|least_interested26|contactcenter_region4,"+54 2 33 5265 14183",61220
"Sydney Krock",82,53876886950,"google form",actionable|contactcenter_region1|contactcenter_region3,"1-67 3633 1050",70251
"Thekla Gorges",87,99422000523,manual-registration,limit,7-68-4336-4481,96268
"Carmel R. Pickford",21,79804995698,manual-registration,source_dependant|least_interested|contactcenter_region1,"1 12-5709 1934",36039
"Salome M. Umont",122,31032273074,"facebok Leads",case16|limit|form_ui344,"3-40 3523 2822",74653
"Rosalie C. O'Carroll",29,37858408080,"Manual registration",special,"5 56-3513-1134",52723
" U. Lalitta",50,26581072110,"Facebook Leads",limit|least_interested14|form_ui344,"+54 9 60 2814 5097",52083
"Kaylyn S. Champagne",40,59233093723,manual-registration,remove_of_source|actionable10|limit,"1 74 4629-6425",37601
"Martha E.",41,62381271403,"Email RESPONSE",contactcenter_region3|most_interested|actionable,"+54 3 63 5827 1301",93423
"Robenia Merriam",68,5933179675289,"Email response",contactcenter_region1|source_dependant|actionpending,4-17-4091-7250,31121
"Oona Stout",99,74355346849,"Email response",treaty|contactcenter_region3|any_applicant,"8 95 8190 93909",11395
"Corrina Normand",97,2456569176120,"Google forms",contactcenter_region221|most_interested2,"+54 7-60-3933 3291",11422
"Krissy Emalee",80,9790485953741,"Google forms",case1|actionable|client_only,"+54 3 34 7280-8827",98776
" Lodovico",27,73119353237,"google Forms",contactondemand|least_interested,"+54 1 11 8201 3461",93423
"Fredelia T. Joete",13,88914258206,"Email response",call_again6|contactondemand|contactondemand,"+54 2 33 5265 14183",46388
"Korrie Hegarty",36,32585223739,"facebok Leads",limit,"5 31-1131 2030",45943
"Lizzy B. Udella",50,14159877321,"facebok Leads",form_ui344|any_applicant4,"3-56 6808 4031",37246
"Sandy Dustan",104,90484812735,"Google forms",actionable4|rangeof_action13|actionpending,"5 67 9795 99426",77076
"Myrlene Heilner",107,7009066039631,"MANUAL REGistration",actionpending,"+54 7 94 1779 3913",31857
"Gerri Philip",13,88914258206,"MANUAL REGistration",contactcenter_region3,"+54 2 33 5265 14183",19114
Sonnie,65,16193696144,"Email response",any_applicant,"4-20 9946 59977",99437
" D. Yuria",27,13563114315,"Email response",source_dependant|any_applicant,"+54 9 23-4434 5382",95052
"Anstice D. Janetta",105,3158519770,"Email RESPONSE",contactcenter_region4,"8 99 8425 4535",86866
" G. Shanahan",46,52302541355,"facebook leads",techsource_29|special|actionable,"8 72-3192 3916",14015
"Cate Fogel",55,66771241354,"facebok Leads",case1,"1 19 2574 1404",47215
"Keeley Rocher",75,6865605077,"Email RESPONSE",source_dependant|actionpending,"3 64 6071 3467",68734
"Kania C. Macomber",13,88914258206,"Google forms",never_call|rangeof_action,"+54 2 33 5265 14183",26987
"Anna-Maria Coulson",116,48000898205,"Email response",possible_buyer|limit16|call_again,"+54 3 10 3140 6852",17855
"Annissa Tillfourd",77,85433024352,"facebok Leads",rangeof_action,"3 17 9476 9008",87830
"Deedee Martsen",86,97235221827,"facebok Leads",contactcenter_region3,"8-80 6140 7757",52416
"Debor Azaleah",85,9065887368,"Email response",any_applicant15|limit,"4 43 4569 5566",81074
"Grier Asteria",56,90189576087,"Email responce",actionpending7,"8 37 2157 2159",92098
"Yoko Adala",87,77984013388,"facebok Leads",contactcenter_region1|contactcenter_region124,"7-57 3419 7972",30901
"Viki A. Emanuela",96,15218133397,"Email RESPONSE",contactcenter_region3,"1 48 8819-10955",63265
"Pia S. Doane",23,68996314784,"google form",treaty|contactcenter_region2,"2 56 5906 7259",88407
"Sarena Bullough",108,61738381622,"facebok Leads",any_applicant|any_applicant|remove_of_source23,"6 24 3296 1098",12244
Gabriel,97,40868411694,"Manual registration",any_applicant,"+54 6 91 5062 7088",29031
"Engracia Jeni",38,2655644547908,"Email response",special|contactcenter_region4,"2 67 3741 9106",74081
"Shirline A. Zeba",36,1725011982897,"Facebook Leads",call_again12,"9 62 4219 1044",45596
"Wrennie G. Swec",87,40524438937,"google form",most_interested|source_dependant,"+54 9-41 1117 3739",28166
"Darbie Hourigan",14,84459547179,"Email responce",apply_0_cases,"+54 2-51 8617 2796",85569
"Faustine T. Conlee",26,73935308305,"Facebook Leads",actionpending,"1 77 2053 57802",47205
Jilly,103,62723629720,"Facebook Leads",client_only30|on_consideration|on_consideration,"+54 8 79 9139 4996",32085
"Juliet Ogilvy",50,86829147361,"facebok Leads",most_interested,"3 83-8624 1446",68060
Editha,106,1008521066728,"facebook leads",apply_0_cases|most_interested,"8 28 9530-7628",65907
"Nicholle B. Grey",3,6512506985320,"MANUAL REGistration",on_consideration20|actionpending|techsource_2927,"9 43 8552-1968",50280
"Zara A. Ambrosia",84,54093137748,"facebok Leads",never_call|form_ui344|actionpending,"3 96 9301 1269",20696
"Serene Ola",90,3950250841777,"Facebook Leads",apply_0_cases|any_applicant,"9 12 6782-5702",65736
Guinevere,92,72234454129,"facebook leads",special13|apply_0_cases|case1,"2 16 8722-4992",56272
Gennie,93,49883589668,"facebok Leads",source_dependant4|apply_0_cases|any_applicant,"1 79 2940-6396",85927
Jena,35,36154614996,"Manual registration",client_only|form_ui344,"8 81 2014 4559",16958
"Mahala Steffy",81,16848452087,"facebok Leads",actionable|contactcenter_region111,"2 17 7227 6443",53017
"Yvette Kandy",22,67360337527,"facebook leads",most_interested10|possible_buyer30|least_interested,"+54 1 66 5563-79687",15705
"Jsandye Saeger",0,82744152134,"facebook leads",techsource_29,"4 98-6346 9797",55264
"Elset Masera",12,4095533783358,"Email RESPONSE",contactcenter_region1,"8 64 2628 1199",98992
"Johnette Rezzani",102,6935346620511,"Facebook Leads",any_applicant,"3-67 2588 9830",79669
"Dasi C. Fu",103,66988513396,"google form",client_only|treaty14,"1 52 5356-7553",77850
"Bonnee C. Anet",63,52479025054,"Facebook Leads",on_consideration,"7 32 1476 97949",20748
"Vinni Elbertine",44,12446346137,"google form",any_applicant23,"2 22 1891-6738",46697
"Kyrstin Glovsky",127,67249749154,"google Forms",contactcenter_region4,"+54 2 14 9278 2194",97354
"Emelyne Ofilia",75,49129392038,"Email RESPONSE",source_dependant|never_call,"5 23 5258 18194",23052
"Aeriell T. Dulcle",33,94658840078,"facebok Leads",techsource_29,"8 10 5706 9756",70824
"Reina K. Davena",89,43915919412,"Email response",client_only,"6-24 1956 63508",37654
"Laurel Harris",14,32646283784,manual-registration,actionpending|treaty19|least_interested,"1 93 3371 8891",59136
"Colleen Pavkovic",79,14114658998,"Email response",contactcenter_region1|contactcenter_region22|treaty,"2-99-3168 91822",55630
"Dede Staford",52,45729646182,"google form",special,"5 72-4391 8777",76410
"Carena Yovonnda",85,792503954,"facebook leads",contactcenter_region1|apply_0_cases|possible_buyer,"+54 6 58 8110-8864",33872
"Torie Galatia",102,15233360364,"facebok Leads",actionpending21,"+54 1 59 8492-3396",42224
" Veronika",88,72492572446,"facebook leads",never_call|limit23|contactcenter_region49,"1 52 4625 6024",25036
"Sofie Ratcliff",89,42923244455,"Email RESPONSE",call_again11|contactcenter_region2,"9 53-5781 70967",61512
"Ursulina Jaime ",39,69861589545,"Email responce",actionpending|contactondemand|special,"5-99 2554 6375",55668
"Esta Vadnee",84,3034056631108,"google Forms",on_consideration|form_ui344|contactcenter_region3,"+54 7 68-9806-6637",85966
"Kalina F. Dorn",33,94658840078,"google form",never_call|any_applicant|source_dependant,"8 10 5706 9756",67844
"Elora Sebbie",96,90576502461,"google form",contactondemand|contactcenter_region2|form_ui344,"2 95 9498 7369",20277
"Corry Bergerac",101,11451368436,manual-registration,on_consideration|client_only3,"+54 7 77 3837 3612",95583
"Anneliese B. Lisabeth",49,40814083515,"Manual registration",least_interested8,"1 71 2478 83791",46050
"Annalise C. Ches",20,87188661934,"Email responce",actionable|contactcenter_region3,"+54 8 52 7248 7489",40628
"Vanya C. Stephanie",120,47999017010,manual-registration,never_call|limit,"+54 3 42 9487 5708",80556
"Odele V. Rosabel",0,56272557185,"Facebook Leads",rangeof_action14|remove_of_source,"+54 8 16 5314 7605",44776
" Oca",123,26724305989,"MANUAL REGistration",contactcenter_region1,"8 31 8890 7425",96802
"Mira Levinson",124,4597583413218,"Facebook Leads",most_interested|least_interested|never_call15,"+54 3-99 6184 2535",75607
"Yetty Liederman",6,90061706062,"facebok Leads",client_only|on_consideration,"+54 9 32 6652 8814",68016
"Stormy P. Bandeen",76,4353632684,"Google forms",source_dependant|client_only|rangeof_action,"+54 3-16 2710 6798",73662
"Maridel Mulvihill",67,40092191786,"google form",contactcenter_region31|special|case1,"+54 4 23 4978-3601",27071
"Mireielle Cesare",121,56406840139,"Facebook Leads",contactcenter_region2,"4 30 1255 21052",68175
"Neille Uni",95,5462483611,"facebook leads",remove_of_source,"2 93 9621 6175",89358
"Aloysia C. O'Callaghan",19,41062641672,"MANUAL REGistration",rangeof_action|call_again18|contactcenter_region3,"7 93 1245 7382",81220
"Shellie Thorne",35,91270917825,"Email responce",contactcenter_region310|actionpending,"2 42 7793 5445",46050
"Margarethe Radley",103,56641104778,"facebok Leads",special|special21,"+54 1 29 5658 9877",37477
"Flor R. Shreve",95,5462483611,"Email response",actionable,"2 93 9621 6175",80484
"Riva E. Philcox",95,5462483611,"Email RESPONSE",contactondemand,"2 93 9621 6175",53913
"Genovera H. Brown",119,71966082211,"facebok Leads",contactondemand,"1 64 6915 1348",57777
Clarette,33,67938850604,"MANUAL REGistration",techsource_29|limit|on_consideration,"2 69 4165 4969",78754
"Bunnie Bonni",75,554027833801,"Email responce",contactcenter_region3,"1-26 9096 5479",52781
"Darlleen Vahe",119,71966082211,"google form",actionable|contactondemand9,"1 64 6915 1348",45503
"Babbette L. Corell",13,5419990590665,"Email RESPONSE",source_dependant,"9-90 5503-3716",79201
"Mercy Shapiro",80,9639090103688,"Manual registration",actionable6,"6 81 4141 6711",63371
